ASSIGNMENT
BITWISE_AND
BITWISE_OR
BITWISE_SHIFT_LEFT
BITWISE_SHIFT_RIGHT
BYTE
BYTE_LITERAL
CHAR_LITERAL
COMMA
CONST
DIV
DOT
ELSE
END
EQUALITY
EXIT
FLOAT_LITERAL
FLOAT64
FOR
FUNCTION
GREAT_THAN
GREATER_THAN_EQUAL
HAT
IDENTIFIER
IF
INEQUALITY
INT_LITERAL
INT32
LEFT_BRACE
LEFT_BRACKET
LEFT_PAREN
LESS_THAN
LESS_THAN_EQUAL
LOGICAL_AND
LOGICAL_OR
MINUS
MULT
PLUS
PRINT
RECORD
REF
RETURN
RIGHT_BRACE
RIGHT_BRACKET
RIGHT_PAREN
SEMICOLON
STATIC
STRING_LITERAL
TYPE
UNARY_NEG
UNARY_NOT
UNARY_TILDE
UNKNOWN
VAR
WHILE
